text,sentiment,label
GoPo: we broke the Google. Will give you new instructions tomorrow in class,Neutral,1
That concluded the #NCDebate. See Thursday\u2019s NCA for complete coverage.,Neutral,1
"@user I'd be going forever man, order a taxi every Monday for me graveyard to Digi, buried with K2's and that",Positive,2
"IBM's Spectrum Protect named Gartner's ""Leaders"" Quadrant for Enterprise Backup Software: A Leader for the 10th time",Neutral,1
@user Pfft. Excuse my language but Thor thinks that the Sun rises and sets out your rear.,Neutral,1
The side project of Iron Maiden bassist Steve Harris is out on the road! Playing live Bristol Bierkeller 30th...,Positive,2
Exhibit B  (Blind Melon performing Change on the day Kurt Cobain's body was discovered April 8 1994)   @user,Neutral,1
"""I'm going to Nekromantix at El Plaza Condesa in Mexico City, Mexico - Sep 1",Neutral,1
When you are at home it is more likely that you have an Apple Watch on your wrists than a iPhone in your pocket.,Neutral,1
Huge run by Simmons!  Keeps @user in the lead   It is 10-7 halfway through the 1st qtr.,Positive,2
"""Hi all, if you are anywhere Los Angeles, and are free on Friday, we need U2 fans for on-camera interviews. See prev tweet""",Positive,2
I wonder if De Gea was sat in his car in the Real Madrid car park waiting for a transfer Odemwingie style,Neutral,1
"@user May Allah bring an end to the suffering of Syrians , especially suffering of Muslims.""",Neutral,1
Watch ESPN tonight to see me burning @user for a sick goal on the top ten. #realbackyardFIFA,Positive,2
"""\""""""""@ESPNNFL: Rivers may have just entered CMon Man territory with that INT in the end zone -- #ChargerFansBooing\"""""""" why did that need a hashtag""",Neutral,1
Malaysia's AirAsia X to suspend Iran service: AFP - The long-haul arm of budget carrier AirAsia said Monday it w...,Neutral,1
@user you literally sat a row behind Kanye west. How do u feel bb,Neutral,1
"""I started watching a Vine with a black and orange cat, so my cat sat on my face. Thanks, Twilight.""",Neutral,1
so I have rewatched every season of Dexter with the parents and now am ITCHING for season 6! roll on October! @user,Positive,2
@user Boneless Thursday with Karm #yum,Neutral,1
"""Wait, a Thursday night NFL game worth watching...and then throw in the NLCS, wonderful.""",Positive,2
Today's the 9th&amp;I forgot that Apple thing now I feel like those fans that wait for something from a band but it's just apple&amp;I won't get it,Negative,0
RIP Frank Gifford. Monday Night Football has never been the same without you. #Turnoutthelightsthepartysover,Neutral,1
@user @user @user Most number of Muslims in the world R killed by fellow Muslims!1st sort it out&amp; then bark against Hindus,Negative,0
"""And each time the sun kisses the shore, I remember every promises you swore.  - Twilight thoughts""",Positive,2
Friday Night Lights on Spotify? This Friday's about to get grimey.,Negative,0
"""Bok squad announcement will be tomorrow for the Australasian tour, open training session for public at Orlando Stadium at 15:00 Thursday""",Neutral,1
In the very 1st episode of Transformers\u002c it looked like Soundwave transformed into the Cybertonian equivalent of a lamppost.,Neutral,1
Me rn cause Calibraska comes out tomorrow in the U.S.,Neutral,1
@user can\u2019t wait to see you Dec 5th\u002c at MSG in NY <3,Positive,2
@user @user We are actually playing on Saturday\u002c January 19 - the week prior to the Senior Bowl.,Neutral,1
Make sure you go cop my EP August 14th on Itunes and google play. You can stream it on spotify.https://t.co/wbmpl59Ko3,Positive,2
Both dope songs but Kendrick has a message Future just goin dumb on auto tune,Negative,0
Gonna go to zumba with my mom Mondays Wednesdays nd Fridays then zumba at school on Thursday nd on Tuesday kettle bell work outs!,Neutral,1
"""I need Dustin Johnson to remember who he is and that it's Sunday, not Thursday""",Neutral,1
My Yahoo Scoreboard is already showing the Lions game vs Cincinnati on Friday. #areyoufreakingkiddingme,Positive,2
Seth Rollins breaks John Cena's nose on 'WWE Monday Night Raw' but the fight continued on,Neutral,1
Tottenham Hotspur boss Andre Villas-Boas has played down speculation that he is already lining up a January bid for...,Neutral,1
"""I Believe in Islam like I Believe in The Sun Rising. Not Because I Can See it, But Because By it, I See Everything.",Positive,2
Clippers vs Lakers Tomorrow! You all are about to be 0-11!,Positive,2
I want to see EB but idk don't look to good guess ill call it a netflix night.,Negative,0
"May be sick, but I'm still tuning into the Apple event thing at 10, because I want to support my babu.",Ambivalent,3
If I go to ihop tomorrow I'm gonna feel like I'm cheating on Denny's and idk how I feel about that /:,Neutral,1
"On Friday night, former vice presidential candidate Sarah Palin chatted with current GOP presidential candidate...",Neutral,1
@user @user today I told a bed-ridden old man wearing Clemson pants that the rest of his team would be joining him soon,Neutral,1
Phablet designs: Nokia Lumia 1520 vs iPhone 6 Plus vs Samsung Galaxy S6 Edge: On Saturday I got to play with t...,Positive,2
Looks like Apple exec @user just confirmed we'll be seeing some big screen news today #AppleEvent,Positive,2
COME SUPPORT BALLARD FIELD HOCKEY in the SEMI-FINALS tomorrow at 7:15 at bellarmine! #bruinfam #studentsection #loudandproud,Positive,2
I may be mean with niall's legs sometimes but it doesnt mean i dont care,Neutral,1
"""Super Eagles coach Sunday Oliseh spoke to journalists in Lagos on Monday, on why he took the Eagles job and his...",Neutral,1
Are you ready to shop The New Collection from H&M tomorrow?? The Grey Concept from H&M #fashion #shopping #highstreet,Neutral,1
It's time for one last trip to the unforgiving world of Dark Souls.   April 12th.,Positive,2
One thing though: when they show Ice Cube wiring the script for FRIDAY... that was inspiring as hell. A lot more tomorrow.,Positive,2
RT @user @user pulled off highway robbery to get Romo from @user Jk. Good trade. Ill try to process it so you can start ro ...,Positive,2
